user_id,user_community,user_active_status,retweet_count,quote_count,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
247579319,1,suspended,3642,590,6,3,319,60,3303,524,5,1,9,2,1039,165
247860908,2,suspended,5086,404,2,3,8,26,5063,373,6,1,7,1,2209,133
259260816,2,suspended,35337,2545,16,5,49,107,35188,2425,39,2,45,6,18753,854
261749735,2,deleted,5848,525,12,8,63,39,5766,475,3,2,4,1,1856,114
264501955,1,suspended,72631,7503,114,104,4986,873,66413,6354,538,92,580,80,23625,1949
274891222,1,suspended,21100,1863,37,49,1005,171,19951,1633,43,7,64,3,7055,460
304123273,2,suspended,5838,522,4,2,14,28,5792,490,10,1,18,1,2509,128
393190233,2,suspended,31238,2445,23,4,117,141,31025,2294,40,3,33,3,11523,708
406290234,1,suspended,38270,5274,67,43,2706,705,35025,4461,171,22,301,43,15383,1560
441724006,2,suspended,16225,1235,14,11,135,124,15810,1080,151,16,115,4,6773,380
454232867,1,suspended,11399,787,17,3,1167,101,10162,679,17,1,36,3,4132,254
466789572,2,suspended,17062,1406,9,3,46,74,16975,1325,13,2,19,2,7339,436
475274420,1,suspended,7038,641,5,1,295,54,6720,582,5,1,13,3,2214,163
526707382,2,suspended,13760,1338,6,2,107,94,13551,1235,44,5,52,2,5194,356
528999980,2,suspended,19928,1454,6,2,91,74,19742,1373,31,3,58,2,8993,426
553224712,2,suspended,5825,689,3,3,28,33,5775,649,6,1,13,3,2257,194
583456963,1,deleted,8932,573,9,2,296,58,8610,511,3,1,14,1,3233,153
584897918,2,suspended,20130,1527,8,3,58,79,20018,1443,25,1,21,1,9575,432
586707638,1,suspended,501628,38075,483,297,38270,4906,453157,32319,5647,313,4071,240,186173,11241
597607476,1,suspended,5602,1096,4,5,464,233,5076,853,32,4,26,1,2307,333
810943316,2,suspended,9735,1191,10,2,50,80,9626,1101,18,4,31,4,4158,334
877699334,2,suspended,21545,2645,23,9,112,177,21340,2451,30,4,40,4,9664,798
936858992,1,deleted,10836,820,6,4,297,68,10503,744,13,1,17,3,3539,197
963297229,1,suspended,54356,5131,112,34,16094,1084,33302,3726,3162,210,1686,77,10431,1073
1018194906,2,suspended,10984,766,5,1,26,28,10935,731,6,1,12,5,4440,209
1445111881,2,suspended,17869,2753,19,9,63,116,17742,2617,20,5,25,6,6905,854
1546656000,2,suspended,25462,2030,15,1,38,65,25355,1957,20,2,34,5,10040,540
1661094252,2,suspended,11339,960,7,1,30,49,11276,908,10,1,16,1,5079,269
1812055789,1,suspended,230122,21362,215,107,14282,2244,213901,18807,786,109,938,95,90100,7096
1848966620,1,deleted,3231,554,6,90,361,67,2811,395,12,1,41,1,886,96
1853047993,2,suspended,7031,817,3,4,30,56,6955,753,14,3,29,1,3228,301
2164876369,1,suspended,5390,305,9,4,216,35,5141,264,6,1,18,1,1857,88
2301527762,1,suspended,2239,598,2,2,205,73,2020,520,5,1,7,2,857,184
2315583427,2,suspended,15317,1168,7,2,124,112,15143,1044,9,2,34,8,7165,432
2713427480,2,suspended,15471,1375,11,10,46,67,15307,1290,65,6,42,2,6738,422
2772429247,2,suspended,8993,1151,1,2,62,67,8910,1073,7,6,13,3,4186,309
2778328297,1,suspended,82158,8033,67,51,3332,660,77723,7207,198,27,838,88,36012,2855
2899459274,2,suspended,9711,808,7,5,24,36,9638,763,23,1,19,3,4101,233
2922345639,2,suspended,35946,4010,34,13,204,211,35532,3760,87,10,89,16,13979,1199
2950103415,2,suspended,19989,1877,9,4,29,67,19902,1800,18,3,31,3,9336,612
3301847203,1,suspended,3816,269,1,1,123,33,3654,233,20,1,18,1,1454,62
3580248555,1,suspended,7914,1558,34,5,1169,186,6181,1245,270,66,260,56,1882,333
4798259061,1,deleted,14905,1193,16,6,857,140,13811,1027,127,15,94,5,6373,371
4853227804,2,suspended,3118,359,2,1,8,31,3086,325,2,1,20,1,1115,83
4903139500,2,suspended,3563,252,1,1,2,11,3558,237,1,2,1,1,1943,80
719662077934243840,2,suspended,10126,911,10,5,86,64,9855,823,83,9,92,10,4000,245
729676086632656900,1,suspended,132802,10057,601,1735,26134,1559,97302,6280,5094,319,3671,164,38475,1942
739863724694110208,1,deleted,8118,738,7,4,526,94,7520,630,23,5,42,5,3932,239
764261361044037632,1,suspended,10079,842,2,4,375,130,9611,700,48,7,43,1,4406,308
798945991386955776,1,deleted,4730,482,6,13,637,60,3991,405,70,2,26,2,1409,94
800086706678419456,1,suspended,15697,1352,25,8,939,131,14694,1208,8,2,31,3,4619,309
811717240030711813,2,suspended,19196,1373,3,6,29,57,19118,1305,13,4,33,1,8567,393
812317302775545856,2,suspended,5273,504,2,1,6,17,5232,481,7,2,26,3,2301,170
831320691580497920,2,suspended,6967,995,6,3,29,63,6906,925,17,3,9,1,2510,286
835711225522700288,1,suspended,875,232,2,8,173,38,689,182,3,2,8,2,199,38
849111344116838400,2,suspended,4789,484,7,1,51,53,4673,421,32,8,26,1,1648,147
862716927696916481,2,suspended,7175,577,3,1,20,35,7122,536,10,1,20,4,3056,152
870468896255385601,2,suspended,4662,896,3,1,13,35,4633,855,1,1,12,4,1715,320
875017115979403264,2,suspended,13806,1057,4,3,36,50,13739,999,10,4,17,1,6141,303
890180563285553152,2,suspended,2927,463,1,3,24,23,2881,434,12,2,9,1,1091,158
895954495116644352,1,suspended,13031,803,18,3,755,86,11894,676,117,20,247,18,4994,252
898757756848680960,2,suspended,8329,584,4,1,11,30,8295,549,5,1,14,3,3903,160
899115298997055491,2,suspended,16098,1354,8,3,19,55,16023,1290,15,5,33,1,6610,360
901063185305882624,2,suspended,19376,2487,11,27,94,140,18784,2202,450,106,37,12,8026,654
910003499546566658,2,suspended,6220,307,2,2,28,20,6162,282,5,1,23,2,2957,92
921468286453321728,1,suspended,32142,3762,54,29,3341,477,28541,3232,84,11,122,13,8638,860
939366737413251072,1,suspended,6891,669,2,1,236,56,6613,603,9,2,31,7,3886,336
939921079673479169,2,suspended,15379,1173,7,5,66,73,15194,1086,53,7,59,2,6772,452
939985878201618432,1,suspended,886,25,1,1,48,3,810,17,13,1,14,3,485,7
940430173517811714,1,suspended,11049,1220,8,5,658,123,9960,1028,339,52,84,12,5536,523
951302891708583936,2,suspended,30646,2693,19,3,185,205,30353,2474,22,7,67,4,12036,798
952758329301807104,1,suspended,11731,1361,9,6,509,177,11111,1157,53,15,49,6,5281,427
966612436978581504,1,suspended,28412,4992,43,18,1664,504,26251,4382,132,19,322,69,10985,1603
972162448949116928,2,suspended,3740,509,4,2,37,30,3678,471,6,1,15,5,1418,180
984537447525691392,1,suspended,9474,151,13,1,854,17,8398,129,94,1,115,3,4541,71
991089617603411968,1,suspended,17309,1322,19,5,973,131,16193,1172,54,6,70,8,8449,527
999116887878524935,2,suspended,4316,406,3,1,12,17,4282,384,12,2,7,2,2106,135
1003140853571862528,2,suspended,9748,1251,6,1,7,76,9693,1167,24,5,18,2,4427,406
1004572573177294848,1,suspended,12012,1309,4,5,476,125,11379,1140,107,34,46,5,5614,523
1010027784318488576,1,suspended,12350,1068,16,8,415,111,11884,943,10,1,25,5,5309,352
1024775399736311808,2,suspended,8093,650,6,1,17,29,8045,618,2,1,23,1,3987,205
1052225335318712320,1,suspended,11384,864,17,12,685,81,10562,763,57,2,63,6,4018,258
1079776911889448960,1,suspended,14498,1689,9,9,783,177,13633,1491,8,1,65,11,5972,578
