tweet_id,user_community,community_type,user_active_status,retweet_count,quote_count,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users,date
1338121489833472001,2,promoter,active,3579,501,5,4,46,124,3366,354,119,14,43,5,1076,104,2020_12
1338136237891342336,1,promoter,active,3902,588,25,13,394,72,3471,501,2,1,10,1,1209,121,2020_12
1338144458278375425,1,promoter,active,5734,709,8,3,308,89,5355,607,33,7,30,3,1857,151,2020_12
1338148430871453696,1,promoter,suspended,19792,1601,30,7,1809,241,17559,1324,195,8,199,21,6498,429,2020_12
1338172201288282114,1,promoter,active,1605,984,10,12,84,74,1506,894,4,3,1,1,611,256,2020_12
1338201050101280769,1,promoter,suspended,4772,367,3,1,255,35,4394,318,80,12,40,1,1929,97,2020_12
1338203081742364682,1,promoter,active,13251,1755,25,26,1666,302,11293,1414,85,6,182,7,3786,353,2020_12
1338213240443031552,1,promoter,suspended,2620,328,3,1,129,35,2439,277,37,11,12,4,1186,91,2020_12
1338214339447296003,1,promoter,suspended,22523,3856,28,24,2795,547,18668,3110,793,143,239,32,6204,891,2020_12
1338221038568677382,1,promoter,suspended,9971,1019,8,27,708,129,8870,805,263,48,122,10,3853,307,2020_12
1338222313381224454,1,promoter,suspended,5995,644,4,9,465,90,5366,528,79,11,81,6,2341,187,2020_12
1338244869354098693,1,promoter,suspended,2407,181,1,1,157,20,2176,155,40,2,33,3,1040,61,2020_12
1338246163368046593,1,promoter,suspended,18886,1622,49,269,3603,232,14282,1064,549,40,403,17,5102,323,2020_12
1338247238619967488,1,promoter,active,7231,1033,11,6,424,103,6757,915,10,1,29,8,2213,303,2020_12
1338254785666043908,1,promoter,suspended,29502,4870,97,1235,6442,608,21100,2876,1151,94,712,57,6713,843,2020_12
1338254787020787712,1,promoter,suspended,15286,923,37,152,3136,123,11318,613,468,28,327,7,3942,171,2020_12
1338267390992379904,1,promoter,suspended,5067,394,10,3,324,45,4587,341,76,4,70,1,1899,106,2020_12
1338279590096228353,1,promoter,suspended,5514,628,7,4,278,59,5125,549,31,2,73,14,2584,255,2020_12
1338280110986842114,1,promoter,active,4839,424,21,124,404,44,4370,254,19,1,25,1,1746,74,2020_12
1338284494533615617,1,promoter,suspended,4907,530,4,6,266,68,4526,449,60,2,51,5,1909,173,2020_12
1338286730064130054,1,promoter,suspended,6064,522,20,15,354,60,5547,441,92,4,51,2,2226,123,2020_12
1338333894446235650,1,promoter,active,2574,474,3,15,146,64,2373,389,39,3,13,3,1092,98,2020_12
1338338270355345409,1,promoter,active,1224,115,1,1,156,15,1043,94,5,3,19,2,407,24,2020_12
1338360799660748800,1,promoter,active,987,83,2,1,76,12,869,65,27,4,13,1,412,26,2020_12
1338367036859232261,1,promoter,suspended,1665,139,1,1,57,20,1536,99,56,15,15,4,716,47,2020_12
1338378573099507715,1,promoter,active,12265,843,19,11,913,110,11030,693,167,18,136,11,4220,231,2020_12
1338383327112335361,1,promoter,deleted,1933,209,1,1,65,18,1833,185,22,3,12,2,966,67,2020_12
1338424559368720385,1,promoter,suspended,14326,1978,13,16,1112,228,13054,1705,88,17,59,12,5373,619,2020_12
1338494535463268358,1,promoter,suspended,2960,202,3,3,154,15,2722,166,45,12,36,6,1255,63,2020_12
1338499117895528451,1,promoter,suspended,9364,842,16,9,779,121,8311,672,174,23,84,17,3495,249,2020_12
1338505355463188482,1,promoter,active,13889,5212,38,37,3184,1034,10200,4009,222,44,245,88,3131,880,2020_12
1338505940937617411,1,promoter,active,620,232,6,1,135,43,461,181,14,5,4,2,117,28,2020_12
1338528996926042115,1,promoter,active,2622,316,3,2,346,70,2198,231,37,10,38,3,714,43,2020_12
1338533165057576967,1,promoter,active,4026,372,5,3,445,61,3421,302,94,5,61,1,1354,83,2020_12
1338535404602003456,1,promoter,suspended,7646,597,10,2,899,101,6514,485,85,2,138,7,2561,136,2020_12
1338557477252517888,1,promoter,active,7411,489,13,2,1119,84,6139,395,13,2,127,6,2017,97,2020_12
1338563999147945985,1,promoter,suspended,2345,85,2,2,115,15,2177,62,22,4,29,2,999,26,2020_12
1338573640317751297,1,promoter,active,4549,350,7,3,405,47,4075,297,18,2,44,1,1428,92,2020_12
1338574268154646528,1,promoter,suspended,25318,3113,80,722,6085,501,17596,1764,856,81,701,45,5606,480,2020_12
1338575021229416453,1,promoter,suspended,5564,752,10,6,371,83,4955,631,177,29,51,3,2186,234,2020_12
1338577239970082822,1,promoter,suspended,9380,2237,13,16,1125,367,7925,1787,212,47,105,20,3491,766,2020_12
1338597216110346240,1,promoter,active,656,205,4,89,65,24,565,88,12,3,10,1,181,23,2020_12
1338611996770643968,1,promoter,active,3939,416,9,5,353,58,3368,322,169,27,40,4,1139,80,2020_12
1338614879750676481,1,promoter,active,6869,412,6,11,576,56,6052,329,120,8,115,8,2259,66,2020_12
1338618035448532993,1,promoter,active,1704,124,13,7,134,15,1490,98,23,2,44,2,540,27,2020_12
1338618286293082113,1,promoter,suspended,6168,353,8,2,299,46,5815,299,24,5,22,1,2447,135,2020_12
1338633548518010882,1,promoter,suspended,9325,656,11,21,570,88,8423,523,193,13,128,11,3576,180,2020_12
1338647689781792769,1,promoter,active,888,96,1,1,93,17,785,76,2,1,7,1,284,24,2020_12
1338833846033207297,1,promoter,active,2883,241,9,7,460,40,2393,191,3,2,18,1,630,39,2020_12
1338855971376926728,2,promoter,suspended,1908,176,2,3,22,22,1838,146,32,3,14,2,746,43,2020_12
1338871862315667456,1,promoter,suspended,57946,9122,243,2565,15765,1346,38812,5010,1553,97,1573,104,11883,1418,2020_12
1338874170042707969,1,promoter,active,660,108,2,3,29,7,617,96,5,1,7,1,214,26,2020_12
1338876892741513222,1,promoter,active,336,69,13,6,16,5,300,56,1,1,6,1,161,19,2020_12
1338986569038905344,1,promoter,suspended,9205,592,6,4,428,70,8703,514,14,1,54,3,3782,207,2020_12
1339060809406693376,1,promoter,suspended,3257,325,2,2,204,40,2950,265,76,15,25,3,1521,136,2020_12
