"domain","tweet_count","retweet_count_metadata","quote_count_metadata","tweet_count_by_community_0","retweet_count_by_community_0","quote_count_by_community_0","tweet_count_by_community_1","retweet_count_by_community_1","quote_count_by_community_1","tweet_count_by_community_2","retweet_count_by_community_2","quote_count_by_community_2","tweet_count_by_community_3","retweet_count_by_community_3","quote_count_by_community_3","tweet_count_by_community_4","retweet_count_by_community_4","quote_count_by_community_4","tweet_count_by_suspended_users","retweet_count_by_suspended_users","quote_count_by_suspended_users"
"independent.co.uk",100,14,0,55,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"washingtonpost.com",1,50,19,1,49,13,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0
"theguardian.com",61,28,4,32,27,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"nypost.com",1,322,152,0,50,11,1,47,19,0,118,45,0,4,1,0,5,0,0,19,6
"thehill.com",1,155,35,1,51,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
"newsweek.com",2,64,22,1,50,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"politicususa.com",5,50,22,4,37,20,0,0,0,1,8,0,0,0,0,0,0,0,0,5,0
"theguardian.com",2,63,7,1,56,4,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
"rawstory.com",2,55,6,2,53,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"washingtonpost.com",1,165,91,1,48,11,0,1,1,0,15,11,0,0,2,0,0,0,0,9,4
"newsweek.com",2,87,22,2,49,9,0,1,1,0,3,1,0,0,0,0,0,0,0,2,0
"washingtonpost.com",2,57,18,2,52,6,0,0,0,0,0,3,0,0,0,0,0,0,1,1,2
"rawstory.com",14,135,15,12,44,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"deadstate.org",1,90,17,1,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"nytimes.com",75,9,1,50,9,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0
"washingtonpost.com",1,53,14,1,47,11,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0
"washingtonpost.com",7,166,22,4,46,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
